scheme,n,r,p,rho,p_rho,beta,p_mixed,d,p_d,mult_min,mult_max,delta_r,delta_lo,delta_hi,delta_p
universal (x1.0),173,0.25806174308359686,0.0006082365308236959,0.2092120839048561,0.005737036504808476,43.795656803565265,2.2498344752846503e-05,-0.8253590272515422,0.0002453563085986155,1.0,1.0,,,,
width from cal_sd,173,0.25712661581134777,0.0006376857968044408,0.20781466427141368,0.006077368045691895,44.78149755000438,1.4039092076133204e-05,-0.8178023979955416,0.0002769487284927861,0.7796568423137119,1.1931098558706017,-0.0006969987840721653,-0.00964401708672768,0.006224166750946112,0.942
width from cal_iqr,173,0.251197789171884,0.0008571281497111264,0.20270749319835757,0.007479652744546413,44.04107819560824,1.5848369493908134e-05,-0.7942689986479113,0.00040208238848847886,0.5,1.2433045315231503,-0.0062823631424318675,-0.02733265669731899,0.0094907788738656,0.5476
width from cal_volatility,173,0.25365994160543753,0.0007587053086000926,0.2053369558634126,0.006725336816099312,42.92460095453621,4.259278063012194e-05,-0.8324856170979024,0.0002187361324487037,0.6887150641852432,1.6060081896105174,-0.00396561645987773,-0.02718792536421778,0.02075109381136023,0.7152
