trial,subject,condition,tsec,arousal,arousal_mean,above,above_adaptive,sustained,rate,excess_fixed,excess_adaptive,event,a100,am100,strat
0_1,0,2,0,0.0,17.708525367727084,0.0,0.0,1.0,8.333054801126156,0.0,0.0,0.0,0.0,0.17708525367727085,<30
0_1,0,2,5,15.380921913884315,42.548538578076446,1.0,1.0,1.0,7.179574037201414,5.517368589477394,1.483331871445273,0.0,0.15380921913884316,0.42548538578076445,<30
0_1,0,2,10,72.64358044290485,34.07940346252846,1.0,1.0,1.0,-8.171017975534312,59.55927192171768,42.16679437697963,0.0,0.7264358044290485,0.3407940346252846,<30
0_1,0,2,15,10.682731945304589,26.894528912801796,0.0,0.0,1.0,3.9662895639821896,0.0,0.0,0.0,0.10682731945304588,0.26894528912801796,<30
0_1,0,2,20,18.071902481912304,9.59483574310911,0.0,0.0,0.0,-6.160383895767948,0.0,0.0,0.0,0.18071902481912303,0.0959483574310911,<30
0_1,0,2,25,10.164681892041862,17.608641818801704,0.0,0.0,0.0,2.710934607573571,0.0,0.0,0.0,0.10164681892041863,0.17608641818801704,<30
0_1,0,2,30,16.90669266385625,20.43265941937504,0.0,0.0,0.0,0.5199848306356588,0.0,0.0,0.0,0.16906692663856251,0.20432659419375038,30-40
0_1,0,2,35,40.18625257972593,27.77759066098389,0.0,1.0,0.0,0.2913530386970089,0.0,3.661829010420071,1.0,0.4018625257972593,0.2777759066098389,30-40
0_11,0,3,0,0.0,0.5025585158162011,0.0,0.0,0.0,0.2431091398683462,0.0,0.0,0.0,0.0,0.005025585158162011,<30
0_11,0,3,5,0.209308683849081,0.5329782304348306,0.0,0.0,0.0,0.01575907935375097,0.0,0.0,0.0,0.00209308683849081,0.005329782304348306,<30
0_11,0,3,10,1.355241026499646,1.9291574650336532,0.0,0.0,0.0,0.2685004258652698,0.0,0.0,0.0,0.01355241026499646,0.01929157465033653,<30
0_11,0,3,15,2.8007656832912176,1.6868977232378968,0.0,0.0,0.0,-0.16201028960448444,0.0,0.0,0.0,0.028007656832912176,0.016868977232378967,<30
0_11,0,3,20,3.8944936429769914,13.634867049458734,0.0,0.0,0.0,3.32371510651607,0.0,0.0,0.0,0.038944936429769914,0.13634867049458735,<30
0_11,0,3,25,14.568357100824883,8.603202866266283,0.0,0.0,0.0,-2.400793232380912,0.0,0.0,0.0,0.14568357100824883,0.08603202866266284,<30
0_11,0,3,30,8.822959460378936,17.10762282968711,0.0,0.0,0.0,3.315333564138605,0.0,0.0,0.0,0.08822959460378936,0.17107622829687108,30-40
0_11,0,3,35,28.07832156311737,19.744965291424332,0.0,0.0,0.0,-1.0022660864711015,0.0,0.0,0.0,0.2807832156311737,0.19744965291424332,30-40
0_11,0,3,40,31.758617165265072,58.31765888817372,0.0,0.0,0.0,10.25637215415627,0.0,0.0,0.0,0.31758617165265074,0.5831765888817372,30-40
0_11,0,3,45,45.69494429463336,62.169120442236114,0.0,0.0,0.0,1.2365599615640241,0.0,0.0,0.0,0.4569494429463336,0.6216912044223611,41-52
0_11,0,3,50,93.26377854367381,96.39028127066963,0.0,1.0,0.0,4.4587070319657,0.0,0.41398630386572677,0.0,0.932637785436738,0.9639028127066963,41-52
0_11,0,3,55,96.18457426361314,95.77886136612113,0.0,0.0,0.0,-0.36621284272007887,0.0,0.0,0.0,0.9618457426361314,0.9577886136612114,53+
0_11,0,3,60,92.85249650134696,92.85249650134696,0.0,0.0,0.0,-0.990661020122578,0.0,0.0,1.0,0.9285249650134696,0.9285249650134696,53+
0_13,0,3,0,0.0,0.3877312664277623,0.0,0.0,0.0,0.12934181706569284,0.0,0.0,0.0,0.0,0.003877312664277623,<30
0_13,0,3,5,5.548584543064559,6.415521784499897,0.0,0.0,0.0,1.1947290711914278,0.0,0.0,0.0,0.05548584543064559,0.06415521784499897,<30
0_13,0,3,10,5.5521123675454085,4.588586607402599,0.0,0.0,0.0,-0.5341004798833702,0.0,0.0,0.0,0.05552112367545409,0.045885866074025984,<30
0_13,0,3,15,1.8957931150302891,2.0360100851695044,0.0,0.0,0.0,-0.31592234616754655,0.0,0.0,0.0,0.018957931150302892,0.020360100851695043,<30
0_13,0,3,20,1.123007360947389,0.4451535139130988,0.0,0.0,0.0,-0.43887612078987387,0.0,0.0,0.0,0.01123007360947389,0.004451535139130988,<30
0_13,0,3,25,0.056502060930338216,0.1991070732347086,0.0,0.0,0.0,0.021930920709922766,0.0,0.0,0.0,0.0005650206093033821,0.001991070732347086,<30
0_13,0,3,30,0.20536804077007165,0.10408132842524935,0.0,0.0,0.0,-0.0430892370306314,0.0,0.0,0.0,0.0020536804077007165,0.0010408132842524935,30-40
0_13,0,3,35,0.5263578522948343,0.5144143163231997,0.0,0.0,0.0,0.06708615329861371,0.0,0.0,0.0,0.005263578522948343,0.005144143163231997,30-40
0_13,0,3,40,0.10659232600535558,0.045059069659492954,0.0,0.0,0.0,-0.07673660364689937,0.0,0.0,0.0,0.0010659232600535558,0.00045059069659492953,30-40
0_13,0,3,45,0.05447369665546253,7.329667529989857,0.0,0.0,0.0,2.3784326945483842,0.0,0.0,0.0,0.0005447369665546253,0.07329667529989857,41-52
0_13,0,3,50,22.118918036371422,10.555311342527125,0.0,0.0,0.0,-1.326260660991294,0.0,0.0,0.0,0.2211891803637142,0.10555311342527124,41-52
0_13,0,3,55,6.550169116979246,55.46609473997071,0.0,0.0,0.0,14.86030577302284,0.0,0.0,0.0,0.06550169116979246,0.5546609473997071,53+
0_13,0,3,60,84.40873959305881,86.55821524723326,0.0,0.0,0.0,2.32483354951526,0.0,0.0,1.0,0.8440873959305881,0.8655821524723326,53+
0_15,0,1,0,0.0,0.014376266672617507,0.0,0.0,0.0,0.005474237532056822,0.0,0.0,0.0,0.0,0.00014376266672617508,<30
0_15,0,1,5,0.011743220008568029,0.004654620168137639,0.0,0.0,0.0,-0.004335696142763229,0.0,0.0,0.0,0.00011743220008568028,4.654620168137639e-05,<30
0_15,0,1,10,0.0004189275524609802,0.00908377319493725,0.0,0.0,0.0,0.002618942879866808,0.0,0.0,0.0,4.189275524609802e-06,9.08377319493725e-05,<30
0_15,0,1,15,0.015158700011143878,0.07688373443422812,0.0,0.0,0.0,0.021112825481789235,0.0,0.0,0.0,0.00015158700011143878,0.0007688373443422812,<30
0_15,0,1,20,1.5821928323461667,2.4098137214748387,0.0,0.0,0.0,0.5315052023020653,0.0,0.0,0.0,0.015821928323461666,0.024098137214748388,<30
0_15,0,1,25,2.0064268736939304,1.5441144839219334,0.0,0.0,0.0,-0.2908970754914795,0.0,0.0,0.0,0.020064268736939304,0.015441144839219333,<30
0_15,0,1,30,0.37933169710662423,3.2805201393552954,0.0,0.0,0.0,0.6924079318012064,0.0,0.0,0.0,0.0037933169710662423,0.03280520139355295,30-40
0_15,0,1,35,3.2271729732304895,4.577227814252628,0.0,0.0,0.0,-0.04584794738011611,0.0,0.0,0.0,0.032271729732304896,0.045772278142526275,30-40
0_15,0,1,40,14.456843585408741,24.658268065982345,0.0,0.0,0.0,4.007194891007387,0.0,0.0,0.0,0.1445684358540874,0.24658268065982344,30-40
0_15,0,1,45,11.306622774671315,16.694557990760977,0.0,0.0,0.0,-1.4770226447662362,0.0,0.0,0.0,0.11306622774671314,0.16694557990760978,41-52
0_15,0,1,50,6.596569905861774,40.827858860218576,0.0,0.0,0.0,8.893904118344532,0.0,0.0,0.0,0.06596569905861774,0.40827858860218574,41-52
0_15,0,1,55,95.22220752158344,98.32873851485768,0.0,0.0,0.0,7.531148206587543,0.0,0.0,0.0,0.9522220752158345,0.9832873851485767,53+
0_15,0,1,60,99.30604088347565,99.30604088347565,0.0,0.0,0.0,0.03483816414108295,0.0,0.0,1.0,0.9930604088347564,0.9930604088347564,53+
0_17,0,1,0,0.0,1.0714412814307772,0.0,0.0,0.0,0.4863633358307963,0.0,0.0,0.0,0.0,0.010714412814307772,<30
0_17,0,1,5,0.9900688979171832,1.8360126716001943,0.0,0.0,0.0,0.12217107477210434,0.0,0.0,0.0,0.009900688979171832,0.018360126716001943,<30
0_17,0,1,10,0.8312431186903074,0.38985599499560375,0.0,0.0,0.0,-0.3695834568433964,0.0,0.0,0.0,0.008312431186903075,0.0038985599499560377,<30
0_17,0,1,15,1.0123309125216748,1.583819633890261,0.0,0.0,0.0,0.2860225416952168,0.0,0.0,0.0,0.010123309125216749,0.01583819633890261,<30
0_17,0,1,20,0.7331467358727262,0.7547160204431174,0.0,0.0,0.0,-0.16797926217118236,0.0,0.0,0.0,0.007331467358727262,0.007547160204431174,<30
0_17,0,1,25,2.2756583476257513,2.28074244594393,0.0,0.0,0.0,0.2042120782598551,0.0,0.0,0.0,0.022756583476257513,0.0228074244594393,<30
0_17,0,1,30,0.5863391969300797,4.074930505215858,0.0,0.0,0.0,0.9125777442571756,0.0,0.0,0.0,0.0058633919693007975,0.040749305052158576,30-40
0_17,0,1,35,24.606675130548112,30.66729242202437,0.0,0.0,0.0,4.846885728981127,0.0,0.0,0.0,0.2460667513054811,0.3066729242202437,30-40
0_17,0,1,40,17.55560904370334,40.4136590132085,0.0,0.0,0.0,3.895921212553675,0.0,0.0,0.0,0.17555609043703338,0.404136590132085,30-40
0_17,0,1,45,28.185335730186026,13.231372590887378,0.0,0.0,0.0,-8.545290340103959,0.0,0.0,0.0,0.28185335730186023,0.13231372590887377,41-52
0_17,0,1,50,10.656998169382385,10.911306402458226,0.0,0.0,0.0,0.39315930138825933,0.0,0.0,0.0,0.10656998169382385,0.10911306402458226,41-52
