signal,marker,beta,ci_lo,ci_hi,p
excess_fixed,cal_sd,-0.0006750088532695142,-0.001135792737740067,-0.00021422496879896146,0.004089438028422957
excess_fixed,resp,-0.0010484043089255015,-0.0016114715022400793,-0.0004853371156109236,0.0002628948418605743
excess_fixed,hrv,-0.0004512154678970409,-0.000887916215947073,-1.45147198470088e-05,0.04285630198450981
excess_adaptive,cal_sd,-0.00039318626554263195,-0.0009100165187947213,0.0001236439877094574,0.1359426940990715
excess_adaptive,resp,-0.0011608354774538944,-0.0017495815535983775,-0.0005720894013094113,0.00011132743429583099
excess_adaptive,hrv,-0.0001350903701034546,-0.0006354377915317858,0.0003652570513248766,0.596682791380657
