trial,subject,k,arousal,event,excess_fixed,excess_adaptive,above,above_adaptive,sustained,rate,tsec,a100,strat,late
0_1,0,0,10.897735380074234,0.0,6.686852246846199,6.686852246846199,1.0,1.0,0.0,10.897735380074234,0,0.10897735380074235,<30,0.0
0_1,0,1,25.52076953137218,0.0,16.516974048425553,9.822880016308979,1.0,1.0,1.0,10.949877246808803,2,0.25520769531372184,<30,0.0
0_1,0,2,15.543269464813452,0.0,5.8438412639482165,1.4015405018380722,1.0,1.0,1.0,-3.3373967777897455,4,0.15543269464813453,<30,0.0
0_1,0,3,29.819307747115275,0.0,19.13852441065257,15.134043737613563,1.0,1.0,1.0,3.70115137532675,6,0.29819307747115276,<30,0.0
0_1,0,4,68.86157774113367,0.0,56.78178129529865,44.252341360500154,1.0,1.0,1.0,16.570204871398882,8,0.6886157774113367,<30,0.0
0_1,0,5,59.26076015457443,0.0,45.84324384635819,29.824287705175795,1.0,1.0,1.0,3.6937927214081903,10,0.5926076015457443,<30,0.0
0_1,0,6,20.15908942263364,0.0,5.419788256775361,0.0,1.0,0.0,1.0,-18.401234042241,12,0.20159089422633641,<30,0.0
0_1,0,7,11.120025051765381,0.0,0.0,0.0,0.0,0.0,0.0,-8.150840090508371,14,0.11120025051765381,<30,0.0
0_1,0,8,22.46855343228477,0.0,7.09403994656488,0.0,1.0,0.0,0.0,3.0547934402355117,16,0.2246855343228477,<30,0.0
0_1,0,9,39.426402877067424,0.0,19.62243339847916,6.716716415472632,1.0,1.0,1.0,9.291666942225362,18,0.39426402877067424,<30,0.0
0_1,0,10,14.505048344419238,0.0,0.0,0.0,0.0,0.0,0.0,-8.376726243349596,20,0.14505048344419239,<30,0.0
0_1,0,11,6.505160601879119,0.0,0.0,0.0,0.0,0.0,0.0,-6.19349459874072,22,0.06505160601879119,<30,0.0
0_1,0,12,8.05922135749535,0.0,0.0,0.0,0.0,0.0,0.0,-0.34664172190757503,24,0.0805922135749535,<30,0.0
0_1,0,13,19.160741639938266,0.0,0.0,0.0,0.0,0.0,0.0,4.436250015446571,26,0.19160741639938267,<30,0.0
0_1,0,14,19.778521961045072,0.0,0.0,0.0,0.0,0.0,0.0,1.8569893280653744,28,0.19778521961045073,<30,1.0
0_1,0,15,17.367711748514843,0.0,0.0,0.0,0.0,0.0,0.0,-0.916694417807782,30,0.17367711748514844,30-34,1.0
