subject,marker_z,curvature,multiplier,optimum_subject,optimum_group,centre_shift
0,0.9504556050060526,-1.2680383304570764,1.537801496757172,39.098012964280926,36.556037824834235,2.5419751394466914
1,-0.007037375626125004,-2.742930936656948,1.0662057391019768,34.55793877089998,34.65033517440375,-0.09239640350376987
2,1.0191339531509167,-1.2571690410722138,1.5911541130547606,26.44773143971468,34.615980335085666,-8.168248895370986
3,1.776540666259567,-1.3462613887228179,1.3543626689199648,18.859072897559827,39.98413805452872,-20.0
4,-2.2907352479594727,-9.105162003306317,0.6225763418525666,30.669481767413842,31.89775964590431,-1.2282778784904664
5,-0.6932326402326934,-3.6000325288896184,0.8605644226092553,36.21427246712846,35.87897295329151,0.3352995138369508
6,0.8400415640993635,-1.4768472274763804,1.4272868414644853,37.42973680632642,36.757976396204356,0.6717604101220616
7,-0.38788838509662416,-3.3757986088518206,0.9112212732800926,35.095747088034884,34.96751616969472,0.1282309183401651
8,0.6063360804108345,-2.0040284449472976,1.2559556481605638,34.71569146576801,35.8723207005768,-1.1566292348087899
9,-0.45753486557032097,-3.5795074936178164,0.8983460331456226,35.2906438204099,35.19961058679347,0.09103323361642879
10,-0.23925408550707605,-3.4411614621565088,0.9448245465789434,35.41275566523792,35.39792928418802,0.014826381049900306
11,0.6972122088748689,-2.041776917455458,1.2520628037969233,36.70688687960884,36.45493469323192,0.2519521863769185
12,-0.584445320340918,-4.051117469747046,0.8602723965366509,32.6388277926921,32.820563160711615,-0.18173536801951684
13,-0.3268744129725208,-3.051719719668199,0.9407178429526482,38.46347032844496,37.77885638046124,0.6846139479837205
14,0.3676299285875127,-1.6531867415711834,1.1489531525234247,41.3318371652862,42.81545155140511,-1.4836143861189086
15,-1.270347673083377,-3.6251954892494953,0.8164332035795832,42.025067711010095,39.520264959549294,2.504802751460801
