subject,performance,pct_above,pct_in_band,mean_excursion,excursion_rate
0,39.7734375,38.46153846153847,61.53846153846154,21.76282958632859,23.076923076923077
0,61.06640625,1.639344262295082,98.36065573770492,2.0254336614707427,0.9836065573770493
0,55.06640625,0.0,100.0,0.0,0.0
0,61.08984375,0.0,100.0,0.0,0.0
0,67.1328125,0.0,100.0,0.0,0.0
0,64.91796875,12.5,87.5,15.806952129476748,7.5
1,33.0234375,54.54545454545454,45.45454545454545,23.39329379624489,32.72727272727273
1,61.10546875,6.557377049180328,93.44262295081968,6.315652214237339,3.934426229508197
1,51.0390625,37.254901960784316,62.745098039215684,16.12138309153139,22.35294117647059
1,35.05859375,5.714285714285714,94.28571428571428,4.69227893479793,3.4285714285714284
1,67.26953125,19.402985074626866,80.59701492537313,25.98423341368933,11.641791044776118
1,45.0390625,26.666666666666668,73.33333333333333,16.76778839532759,16.0
2,33.04296875,78.78787878787878,21.21212121212121,21.214039496522748,47.272727272727266
2,33.125,48.484848484848484,51.515151515151516,29.570258455541385,29.09090909090909
2,39.078125,69.23076923076923,30.76923076923077,32.89106687451411,41.53846153846154
2,10.73828125,60.0,40.0,13.538263779881916,36.0
2,37.109375,94.5945945945946,5.405405405405405,29.05076015063418,56.75675675675675
2,47.06640625,76.59574468085107,23.404255319148938,23.404126064274973,45.95744680851064
2,47.09375,74.46808510638297,25.53191489361702,28.784096329024123,44.680851063829785
2,37.01953125,54.054054054054056,45.94594594594595,6.732010331181508,32.43243243243243
3,33.1328125,100.0,0.0,48.90227234050326,59.99999999999999
3,31.08984375,100.0,0.0,57.74536161637946,59.99999999999999
3,43.3984375,93.02325581395348,6.976744186046512,41.28715181418645,55.81395348837209
3,35.0703125,77.14285714285715,22.857142857142858,31.91268729522413,46.285714285714285
3,64.94140625,45.3125,54.6875,59.47023421357242,27.1875
4,29.37109375,13.793103448275861,86.20689655172413,32.22811872858416,8.275862068965518
4,35.0,0.0,100.0,0.0,0.0
