subject,performance,pct_above,pct_in_band,mean_excursion,excursion_rate
0,63.0546875,6.349206349206349,93.65079365079364,11.539692251813626,3.8095238095238093
0,63.125,6.349206349206349,93.65079365079364,22.37531681533287,3.8095238095238093
0,61.11328125,0.0,100.0,0.0,0.0
0,63.10546875,0.0,100.0,0.0,0.0
0,73.08203125,0.0,100.0,0.0,0.0
0,71.07421875,11.267605633802818,88.73239436619718,8.507351066731824,6.76056338028169
1,69.25,1.4492753623188406,98.55072463768117,3.6207470456769997,0.8695652173913044
1,37.0546875,21.62162162162162,78.37837837837837,30.061067660301134,12.972972972972972
4,57.0625,15.789473684210526,84.21052631578947,20.89674535071174,9.473684210526317
4,49.01171875,0.0,100.0,0.0,0.0
7,63.18359375,25.396825396825395,74.60317460317461,27.476610993411978,15.238095238095237
7,51.15625,0.0,100.0,0.0,0.0
8,35.26171875,54.285714285714285,45.714285714285715,37.33363802115054,32.57142857142857
8,53.39453125,64.15094339622641,35.84905660377358,22.801143341273512,38.49056603773585
8,39.35546875,41.02564102564102,58.97435897435898,22.551831215566246,24.615384615384613
8,31.12109375,67.74193548387096,32.25806451612903,41.704410608367844,40.64516129032258
8,43.453125,16.27906976744186,83.72093023255815,7.346251310675841,9.767441860465116
8,61.14453125,0.0,100.0,0.0,0.0
9,51.10546875,0.0,100.0,0.0,0.0
9,35.01171875,0.0,100.0,0.0,0.0
12,61.0625,31.147540983606557,68.85245901639344,32.57708640411054,18.688524590163937
12,63.06640625,31.746031746031743,68.25396825396825,20.355921717391837,19.047619047619047
13,9.08984375,0.0,100.0,0.0,0.0
13,39.25390625,2.564102564102564,97.43589743589743,4.1831618604077505,1.5384615384615383
13,31.12890625,32.25806451612903,67.74193548387096,16.032714799518907,19.354838709677416
13,35.390625,14.285714285714285,85.71428571428571,13.995406494768849,8.571428571428571
13,35.20703125,2.857142857142857,97.14285714285714,1.2962731356673771,1.7142857142857142
2,41.35546875,26.82926829268293,73.17073170731707,20.029450271728003,16.097560975609756
2,21.06640625,61.904761904761905,38.095238095238095,21.629274901541137,37.142857142857146
2,55.29296875,0.0,100.0,0.0,0.0
2,45.1015625,0.0,100.0,0.0,0.0
2,38.37890625,0.0,100.0,0.0,0.0
3,37.41015625,64.86486486486487,35.13513513513514,38.27675182510024,38.91891891891892
3,35.078125,40.0,60.0,33.17169746877316,24.0
3,53.078125,18.867924528301888,81.13207547169812,6.7918399591888345,11.320754716981133
3,63.2421875,14.285714285714285,85.71428571428571,28.774459719397644,8.571428571428571
3,63.1875,11.11111111111111,88.88888888888889,31.357563751381832,6.666666666666666
5,45.21875,6.666666666666667,93.33333333333333,5.185230674406587,4.0
5,45.16015625,0.0,100.0,0.0,0.0
5,37.08984375,35.13513513513514,64.86486486486487,12.833385408820833,21.08108108108108
6,51.21484375,47.05882352941176,52.94117647058824,27.271154678956947,28.235294117647058
6,47.2890625,70.2127659574468,29.78723404255319,27.29643061358484,42.12765957446808
6,63.10546875,42.857142857142854,57.14285714285714,29.394191368634658,25.71428571428571
10,41.27734375,0.0,100.0,0.0,0.0
10,35.11328125,0.0,100.0,0.0,0.0
10,33.125,0.0,100.0,0.0,0.0
10,41.10546875,0.0,100.0,0.0,0.0
10,37.09375,0.0,100.0,0.0,0.0
11,63.07421875,0.0,100.0,0.0,0.0
11,31.06640625,0.0,100.0,0.0,0.0
11,33.04296875,0.0,100.0,0.0,0.0
11,59.1484375,0.0,100.0,0.0,0.0
11,59.10546875,0.0,100.0,0.0,0.0
14,31.05078125,32.25806451612903,67.74193548387096,30.92058629280739,19.354838709677416
14,55.26953125,36.36363636363637,63.63636363636363,22.365751944058253,21.81818181818182
14,33.1328125,42.42424242424242,57.57575757575758,32.4382291832129,25.454545454545453
15,35.0625,40.0,60.0,22.195431721145784,24.0
15,67.08984375,16.417910447761194,83.5820895522388,14.748600614510297,9.850746268656716
15,67.05859375,29.850746268656714,70.1492537313433,27.66712760753641,17.91044776119403
15,43.1171875,0.0,100.0,0.0,0.0
