mapping,lo,hi,r,d
universal x1.0,1.0,1.0,0.2704621661634648,-0.843393107907614
proportional (calibration_profile),0.5,1.4441351665648918,0.2689427294596283,-0.8362032321932393
amplified x2,0.5,1.8882703331297837,0.26355072309735306,-0.8093522678050475
amplified x4,0.5,2.7765406662595673,0.2684183109929405,-0.8192641563156224
"INVERTED, amplified x2",0.5,2.145367623979736,0.24956125056936818,-0.8184098618476628
"INVERTED, amplified x4",0.5,3.0,0.23558914825637284,-0.7803993940218608
