index,column,scaling,n,beta_quad,ci_lo,ci_hi,p_easy,p_hard,daic,optimum_hard,sd_of_trial_means
peripheral (per-subject),new_arousal,per-subject percentile + clip + IIR,352,-2.561552493779822,-3.794908970889627,-1.3281960166700175,4.688408590544101e-05,0.0010968389760583896,-18.64852590843293,50.77927564652204,17.514634454337987
"peripheral, per-trial minmax",periph_trial,REVERSE TEST,352,-1.7069924579153795,-3.3549519276098296,-0.05903298822092928,0.04233890064255421,0.21287155663066937,-1.0783059328696254,59.206695130407134,14.972689381490865
EEG (per-trial),old_arousal,per-trial min-max,352,-1.2982518892961719,-2.8298684995242898,0.23336472093194627,0.09664635936902673,0.40985691926645096,0.8129952126764692,75.95050447116876,15.927328286250587
"EEG, per-trial minmax (rebuilt)",eeg_trial,reproduces the stored column,352,-1.2982519904219172,-2.82986860384805,0.23336462300421568,0.09664633408966046,0.409857181027365,0.8129954263004038,75.95052585807584,15.927327156066895
"EEG, per-subject percentile",eeg_subj_cl,matches peripheral scaling,352,-0.4550649435531523,-1.636801963822815,0.7266720767165106,0.45040159775398203,0.30211067708169037,2.45490315277857,84.67456588013337,19.203584671020508
"EEG, per-subject + IIR + warm-up",eeg_subj_full,full pipeline parity,352,-0.46155545620684224,-1.6643171370184326,0.7412062246047482,0.45197342030568377,0.6438116264363225,3.258394874239457,144.25039781830793,18.972087657578758
"EEG, native units",eeg_raw,no scaling at all,352,-14245.405224840752,-26406.142734365363,-2084.6677153161418,0.021678571584882157,0.5797766311943295,-1.9976160611695377,-0.7792819971590529,0.17612768709659576
