signal,marker,brier,delta,p,better
excess_fixed,cal_sd,0.08316163852505896,0.0006249238418188727,0.12200755907500613,4
excess_fixed,resp,0.08302832426491051,0.0004916095816704207,0.1985774186203496,2
excess_fixed,hrv,0.08330314599629757,0.000766431313057479,0.029106590509335204,6
excess_adaptive,cal_sd,0.08344394750805473,0.0008522741716298554,0.06696834351798368,3
excess_adaptive,resp,0.08289919114249585,0.00030751780607097753,0.31973473467074387,5
excess_adaptive,hrv,0.08399082584846636,0.001399152512041482,0.03639429791024811,3
