scheme,n,r,p,cohens_d
universal x1.0,113,0.2983120544579966,0.0013308555205776321,0.8528010351883281
universal x1.75 (retuned),113,0.3278197129602034,0.00039336340089353276,0.912897456693238
group widths (composite score),113,0.33235753268449225,0.0003224940320477055,0.9530859179207112
group widths (calibration marker),113,0.3196175172671665,0.0005589668023839309,0.8301538363411483
centre from fitted curve,113,0.3283243018143631,0.00038482777759400705,0.9534096309260334
width from fitted curve,113,0.3068525328041476,0.0009472350734813838,0.8305878571145309
