subject,performance,dev_own,dev_group
0,16142,12.08141079161934,1.1098390053767346
0,16160,7.841623754522995,3.1299480317196107
0,15645,12.628582310442066,1.6570105241994604
0,16155,8.605205573807213,19.576777360049817
0,18709,6.855101635595545,4.116470150647061
0,18195,7.721650406141514,18.69322219238412
1,17728,23.488979161898584,20.228361730359147
1,9486,17.618280031243728,14.357662599704295
2,10587,5.9472828203239985,7.260866288832911
2,5393,12.052954152434289,1.155194956722621
2,14155,9.074048818603949,4.134100290552961
2,11546,20.835515270663766,7.627366161506856
2,9825,30.92201091329121,17.713861804134304
3,9577,11.688629313956206,33.1539856959585
3,8980,15.447312903893867,6.018043478108421
3,13588,21.374688005957154,0.09066837604513367
3,16190,0.8089065649452323,22.27426294694752
3,16176,7.4168102979522885,14.048546084049999
4,14608,6.243478130520895,6.68951837502728
4,12547,15.43939554009557,14.993355295589184
5,11576,1.9761136590921815,8.216821150271421
5,11561,17.77274252062536,24.0134500118046
5,9495,13.38607344079167,7.1453659496124295
6,13111,21.061853828892893,37.56802510316622
6,12106,25.325377525978283,41.83154880025161
6,16155,29.171311536825613,45.67748281109894
7,16175,24.312381804808325,22.86046088277134
7,13096,14.312851923469768,15.764772845506755
8,9027,9.623160044659002,5.217180026362531
8,13669,35.75477575032697,31.3487957320305
8,10075,1.9438025852982577,6.349782603594729
8,7967,18.868040043204864,14.462060024908393
8,11124,0.22525104729508527,4.631231065591557
8,15653,5.622164350934913,10.028144369231384
9,13083,6.500577913396693,15.604753934137893
9,8963,21.099228645087024,30.203404665828224
10,10567,13.165048791100153,11.204263522393937
10,8989,0.9612281448889162,23.408084168605175
10,8480,4.124368415207673,28.493680728701765
10,10523,3.487406670949669,27.85671898444376
10,9496,5.208162399956829,29.57747471345092
11,16147,1.9707656370037379,24.516779274705122
11,7953,3.4569829234298926,29.94452783513875
11,8459,0.27906968205991856,26.76661459376878
11,15142,11.791116516921722,14.696428394787137
11,15131,2.16929742692351,24.31824748478535
12,15632,16.445101937361287,22.933688118752702
12,16145,1.43528800747265,5.0532981739187655
13,2327,6.113982289045376,29.051979906805947
13,10049,2.62020723908908,20.31779037867149
13,7969,12.9580147712712,9.97998284648937
13,9060,6.127047970990114,16.810949646770457
13,9013,1.39088205378067,21.5471155639799
14,7949,20.905059586987615,1.7976078135193987
14,14149,5.113214410341548,24.220666183809765
14,8482,11.788447341181588,7.319004432286629
15,8976,3.8844302004396916,0.6685446359300116
15,17175,5.23000109417535,2.01411552966567
15,17167,9.326520274336545,6.110634709826865
15,11038,10.313461180331771,13.529346744841451
