quintile,arousal_lo,arousal_hi,n,events,log_hazard,se,p
1,0.0,0.35668941274646837,317,5,0.0,,
2,0.35825705610475617,4.444834011908895,317,22,0.34250301333261696,0.43861143987982487,0.4348729257021332
3,4.4712310925882495,20.70026154240182,316,29,0.16233121811889586,0.6056048753177834,0.788662317465637
4,20.74170422170608,54.96981344284673,317,37,0.10855634164972743,0.5032567866340195,0.8292156333345445
5,55.00560171759827,99.97407811541325,317,80,0.5896130753846914,0.5556389368766276,0.2886243405826199
