subject,performance,pct_above,pct_in_band,mean_excursion,excursion_rate
0,39.7734375,38.46153846153847,61.53846153846154,19.357998142179483,23.076923076923077
0,61.06640625,0.0,100.0,0.0,0.0
0,55.06640625,0.0,100.0,0.0,0.0
0,61.08984375,0.0,100.0,0.0,0.0
0,67.1328125,0.0,100.0,0.0,0.0
0,64.91796875,12.5,87.5,14.349945599629075,7.5
1,33.0234375,48.484848484848484,51.515151515151516,20.4091410107579,29.09090909090909
1,61.10546875,0.0,100.0,0.0,0.0
1,51.0390625,23.52941176470588,76.47058823529412,15.750602487849726,14.117647058823529
1,35.05859375,2.857142857142857,97.14285714285714,2.167918902606228,1.7142857142857142
1,67.26953125,16.417910447761194,83.5820895522388,22.113316937222724,9.850746268656716
1,45.0390625,24.444444444444443,75.55555555555556,13.5241546918121,14.666666666666666
2,33.04296875,30.303030303030305,69.6969696969697,29.07271285881736,18.18181818181818
2,33.125,24.242424242424242,75.75757575757575,36.268443321699166,14.545454545454545
2,39.078125,51.28205128205128,48.717948717948715,21.6939836001861,30.769230769230766
2,10.73828125,20.0,80.0,25.76530531841897,12.0
2,37.109375,56.75675675675676,43.24324324324324,26.774479329822107,34.05405405405405
2,47.06640625,36.17021276595745,63.829787234042556,17.043252010633807,21.70212765957447
2,47.09375,38.297872340425535,61.702127659574465,22.806980496168844,22.97872340425532
2,37.01953125,8.108108108108109,91.8918918918919,5.755416512766033,4.864864864864865
3,33.1328125,63.63636363636363,36.36363636363637,40.47878125021537,38.18181818181818
3,31.08984375,67.74193548387096,32.25806451612903,50.85006111303193,40.64516129032258
3,43.3984375,37.2093023255814,62.7906976744186,44.10411205631462,22.325581395348838
3,35.0703125,37.142857142857146,62.857142857142854,27.171018471772072,22.285714285714285
3,64.94140625,37.5,62.5,42.8791109292547,22.5
4,29.37109375,10.344827586206897,89.65517241379311,29.426903139658247,6.206896551724138
4,35.0,0.0,100.0,0.0,0.0
4,45.02734375,4.444444444444445,95.55555555555556,16.823513098526025,2.6666666666666665
4,43.02734375,0.0,100.0,0.0,0.0
4,41.0234375,4.878048780487805,95.1219512195122,1.9951814055680757,2.926829268292683
4,63.0859375,0.0,100.0,0.0,0.0
4,59.03515625,1.694915254237288,98.30508474576271,0.919057213720265,1.0169491525423728
4,31.03125,19.35483870967742,80.64516129032258,32.71924231283799,11.61290322580645
4,65.05078125,0.0,100.0,0.0,0.0
4,32.96484375,15.625,84.375,11.415294705614667,9.375
5,45.14453125,17.77777777777778,82.22222222222221,8.878291814877496,10.666666666666666
5,31.03125,58.06451612903226,41.935483870967744,9.83811225719551,34.83870967741935
5,63.1171875,34.92063492063492,65.07936507936508,13.720717473782514,20.952380952380953
5,65.15625,10.76923076923077,89.23076923076924,30.603249138825937,6.461538461538462
5,45.078125,0.0,100.0,0.0,0.0
5,63.18359375,3.1746031746031744,96.82539682539682,3.2124517485029296,1.9047619047619047
5,49.078125,20.408163265306122,79.59183673469387,13.407926270011263,12.244897959183673
6,43.1484375,27.906976744186046,72.09302325581395,5.920955312428478,16.74418604651163
6,45.08984375,28.888888888888886,71.11111111111111,12.857111473471507,17.333333333333332
6,31.12890625,90.32258064516128,9.67741935483871,35.25865777885955,54.19354838709677
6,45.12109375,60.0,40.0,32.4133070289492,36.0
6,33.03125,75.75757575757575,24.242424242424242,45.99314539747318,45.45454545454545
6,37.328125,89.1891891891892,10.81081081081081,53.028058876798134,53.51351351351351
6,33.1015625,90.9090909090909,9.090909090909092,42.86946526249182,54.54545454545454
6,46.41796875,47.82608695652174,52.17391304347826,12.908015962113835,28.695652173913043
7,57.11328125,7.017543859649122,92.98245614035088,9.913610408122638,4.2105263157894735
7,47.0625,14.893617021276595,85.1063829787234,14.28132773530306,8.936170212765958
7,39.08203125,2.564102564102564,97.43589743589743,2.7587419108018096,1.5384615384615383
7,33.078125,21.21212121212121,78.78787878787878,13.324129173001657,12.727272727272727
7,33.0390625,0.0,100.0,0.0,0.0
7,51.07421875,23.52941176470588,76.47058823529412,14.258279369453964,14.117647058823529
7,37.01953125,2.7027027027027026,97.2972972972973,2.2939760372648816,1.6216216216216215
7,37.07421875,16.216216216216218,83.78378378378379,15.650787442031232,9.72972972972973
8,33.1328125,78.78787878787878,21.21212121212121,39.312126282171434,47.272727272727266
8,31.09375,32.25806451612903,67.74193548387096,11.301596391844706,19.354838709677416
8,31.22265625,54.83870967741935,45.16129032258064,30.01700860683011,32.90322580645161
8,43.171875,41.86046511627907,58.139534883720934,13.518436340795752,25.11627906976744
8,35.23828125,11.428571428571429,88.57142857142857,15.625525342567048,6.857142857142857
9,33.0703125,39.39393939393939,60.60606060606061,26.863572627852633,23.636363636363633
9,61.08984375,26.229508196721312,73.77049180327869,36.6967240007086,15.737704918032788
9,35.0390625,5.714285714285714,94.28571428571428,1.4447040698796219,3.4285714285714284
9,35.1171875,5.714285714285714,94.28571428571428,6.681937335622948,3.4285714285714284
9,37.12890625,0.0,100.0,0.0,0.0
9,44.79296875,0.0,100.0,0.0,0.0
10,31.08203125,0.0,100.0,0.0,0.0
10,35.17578125,11.428571428571429,88.57142857142857,10.039379100093186,6.857142857142857
10,35.13671875,0.0,100.0,0.0,0.0
10,35.09375,0.0,100.0,0.0,0.0
10,35.06640625,0.0,100.0,0.0,0.0
10,47.078125,0.0,100.0,0.0,0.0
10,38.8671875,7.894736842105263,92.10526315789474,18.375388919113757,4.736842105263158
11,49.1328125,0.0,100.0,0.0,0.0
11,31.0234375,0.0,100.0,0.0,0.0
11,43.08203125,0.0,100.0,0.0,0.0
11,43.0546875,0.0,100.0,0.0,0.0
11,51.14453125,0.0,100.0,0.0,0.0
11,37.05859375,0.0,100.0,0.0,0.0
11,32.6015625,0.0,100.0,0.0,0.0
12,73.07421875,2.941176470588235,97.05882352941177,4.963156396502786,1.7647058823529411
12,47.06640625,0.0,100.0,0.0,0.0
12,33.015625,27.27272727272727,72.72727272727273,19.48596019301516,16.363636363636363
12,37.01171875,0.0,100.0,0.0,0.0
12,38.99609375,13.157894736842104,86.8421052631579,8.739974264152341,7.894736842105264
12,63.0625,6.349206349206349,93.65079365079364,17.238318457686784,3.8095238095238093
13,17.078125,11.76470588235294,88.23529411764706,4.770612403328347,7.0588235294117645
13,25.36328125,32.0,68.0,24.87259949434585,19.2
13,15.421875,66.66666666666666,33.33333333333333,45.742130823006946,40.0
13,35.1171875,8.571428571428571,91.42857142857143,11.221115032860688,5.142857142857142
13,29.390625,3.4482758620689653,96.55172413793103,25.026988625248904,2.0689655172413794
13,31.3671875,0.0,100.0,0.0,0.0
13,39.16015625,0.0,100.0,0.0,0.0
14,49.375,51.02040816326531,48.97959183673469,32.527987847042866,30.612244897959183
14,33.02734375,72.72727272727273,27.27272727272727,22.397704452264446,43.63636363636363
14,45.1171875,37.77777777777778,62.22222222222222,33.81726362139455,22.666666666666668
14,35.1171875,65.71428571428571,34.285714285714285,34.04599855380697,39.42857142857142
14,49.2578125,59.183673469387756,40.816326530612244,51.24225534609604,35.51020408163265
14,47.43359375,57.446808510638306,42.5531914893617,28.89423693747628,34.46808510638298
14,35.08203125,74.28571428571429,25.71428571428571,31.935479316763082,44.57142857142857
14,31.046875,90.32258064516128,9.67741935483871,38.86803198442698,54.19354838709677
14,21.16015625,95.23809523809523,4.761904761904762,56.06885886025975,57.142857142857146
15,59.1015625,18.64406779661017,81.35593220338984,21.909384978708612,11.186440677966102
15,43.09375,44.18604651162791,55.81395348837209,16.94156979248022,26.511627906976745
15,37.09375,56.75675675675676,43.24324324324324,27.125185279467317,34.05405405405405
15,57.13671875,5.263157894736842,94.73684210526315,1.6923096550462013,3.1578947368421053
15,63.171875,6.349206349206349,93.65079365079364,4.807186816302466,3.8095238095238093
15,35.09765625,17.142857142857142,82.85714285714286,5.365747420588221,10.285714285714285
15,37.15234375,40.54054054054054,59.45945945945946,9.472439870026195,24.324324324324323
15,33.94140625,60.60606060606061,39.39393939393939,15.152552351722449,36.36363636363636
