scheme,mean_within_r,median_within_r,n
universal x1.0,0.3300981068141014,0.4036613864864752,15
best universal x1.75,0.34928708376488943,0.45313863674154303,15
oracle (in sample),0.4091610898169992,0.5337097824188988,16
leave-one-trial-out,0.3626051168441936,0.38360254171166214,15
