band,n,r,p,cohens_d,d_p
universal x1.0,113,0.2983120544579966,0.0013308555205776321,0.8528010351883281,0.0023255605455913793
universal x1.75 (no personalisation),113,0.3278197129602034,0.00039336340089353276,0.912897456693238,0.0011902588857571686
width from curvature,113,0.3068525328041476,0.0009472350734813838,0.830587857114531,0.002959745616400784
centre from fitted optimum,113,0.3283243018143631,0.00038482777759400705,0.9534096309260334,0.000747542824356653
centre + width,113,0.3171347359140044,0.0006204910556687528,0.8814811857802003,0.0016945485220043314
DELTA centre vs universal x1.0,113,0.030748661568764726,0.4076,,
DELTA width vs universal x1.0,113,0.010082713106096739,0.2838,,
DELTA retuned x1.75 vs universal x1.0,113,0.030698901353041742,0.0562,,
DELTA centre vs retuned x1.75,113,-5.2132541955070124e-05,0.9142,,
