subject,condition,dur_s,pre_crash,baseline,rise
0,2,39.7734375,22.64428060883099,13.765437012151063,8.878843596679927
0,3,63.0546875,57.24335901903673,76.16377050892477,-18.92041148988804
0,1,61.06640625,92.04625999954285,93.9862758073074,-1.9400158077645386
0,3,63.125,77.41167595245676,57.43026299046876,19.981412961988
0,2,55.06640625,77.06604943139398,58.744399618802106,18.321649812591872
0,3,61.11328125,95.99520675983965,67.01538462341634,28.97982213642331
0,3,63.10546875,55.383236689071495,8.253140238914714,47.130096450156785
0,1,61.08984375,79.67473363963965,19.734586934846543,59.94014670479311
0,1,67.1328125,23.888772231233578,7.91306830472252,15.975703926511057
0,3,73.08203125,97.90848311096275,47.1717331151248,50.73674999583795
0,3,71.07421875,1.7052639988675273,28.459578449095574,-26.754314450228048
0,2,64.91796875,75.78075628160363,68.95895790272071,6.821798378882917
1,2,33.0234375,32.01532668208152,30.90128561460213,1.1140410674793912
1,2,61.10546875,81.95992603128654,30.461643873732328,51.498282157554215
1,1,51.0390625,27.547759201660778,41.982577219934335,-14.434818018273557
1,3,69.25,7.953190437443243,30.719817626760992,-22.76662718931775
1,1,35.05859375,2.646516765020606,1.3157342210287128,1.3307825439918932
1,2,67.26953125,53.75166945184678,76.4060146010972,-22.654345149250418
1,2,45.0390625,9.90674436804747,0.20100763479338654,9.705736733254083
1,3,37.0546875,0.7450913798042618,43.576127279187155,-42.83103589938289
2,3,41.35546875,83.95635243939873,65.80153185648473,18.154820582914
2,1,33.04296875,67.0149449894133,6.889358905537662,60.12558608387563
2,2,33.125,67.69323261129873,7.165418427704106,60.52781418359462
2,1,39.078125,94.20166130695495,40.191775566997066,54.00988573995788
2,2,37.109375,62.8226790287795,30.677988555780985,32.14469047299851
2,3,21.06640625,53.190361274510636,14.186554169468874,39.00380710504176
2,1,47.06640625,90.47981384395605,74.25806116185244,16.221752682103613
2,1,47.09375,90.98049217405269,69.7221216651507,21.25837050890199
2,3,55.29296875,92.7285187339012,75.65882069576267,17.069698038138526
2,1,37.01953125,25.468115631172616,3.764504196864123,21.703611434308492
2,3,45.1015625,90.06002774731867,8.32818714579952,81.73184060151915
2,3,38.37890625,30.534045949767012,13.220621928547558,17.313424021219454
3,1,33.1328125,97.58995985637792,59.46679279907787,38.123167057300044
3,3,37.41015625,84.28849828064048,84.14846028314476,0.14003799749572465
3,3,35.078125,31.096022806935668,73.68378749429766,-42.587764687362
3,3,53.078125,81.7194641256982,23.84818629178386,57.871277833914334
3,1,31.08984375,87.61189938350591,80.09583366874823,7.516065714757687
3,2,43.3984375,75.84024330368467,40.925269692267264,34.91497361141741
3,3,63.2421875,93.82290199641608,90.46664992372328,3.356252072692797
3,1,35.0703125,11.14788951044902,30.3741827905898,-19.22629328014078
3,3,63.1875,91.04667113897202,87.10887553402759,3.9377956049444265
3,1,64.94140625,97.57037856568276,63.5884507399705,33.98192782571226
4,1,29.37109375,28.698089533549638,0.6493454870679961,28.04874404648164
4,3,57.0625,78.47785855152257,49.95111296907497,28.526745582447603
4,2,35.0,0.7700165796687939,2.120288564338379,-1.3502719846695852
4,2,45.02734375,77.3588266625579,23.383679274145226,53.97514738841268
4,1,43.02734375,74.58581816618123,11.887808776427962,62.69800938975327
4,2,41.0234375,63.006310068614596,8.657370500378097,54.3489395682365
4,2,63.0859375,84.36116562570658,59.09742860302917,25.263737022677404
4,2,59.03515625,77.1978605566771,65.0247293343284,12.173131222348701
4,3,49.01171875,48.93873857938894,17.417604171007348,31.52113440838159
4,1,31.03125,54.03102892581874,1.5993046314988613,52.43172429431988
4,2,65.05078125,69.82003117667412,75.0402247905701,-5.220193613895972
4,2,32.96484375,47.66419430189328,3.3722803988223466,44.291913903070935
5,2,45.14453125,12.019027394594755,25.91749135145779,-13.898463956863036
5,1,31.03125,36.293014494007494,29.845596985918917,6.447417508088577
5,3,45.21875,44.44136336761036,29.812650536827267,14.62871283078309
5,3,45.16015625,12.909616645920002,7.3725367657652825,5.537079880154719
5,2,63.1171875,30.5444129708079,28.366182372816127,2.1782305979917744
5,1,65.15625,69.86656892398702,48.237686415875125,21.628882508111893
5,2,45.078125,18.117811330743102,34.10769714552686,-15.989885814783761
5,1,63.18359375,35.5752491534392,14.523532113635863,21.05171703980334
5,3,37.08984375,57.93186746490055,36.65455045767165,21.277317007228902
5,2,49.078125,72.3819879983916,62.885629443458996,9.496358554932598
6,1,43.1484375,5.840382970908175,23.504064150780906,-17.663681179872732
