index,control,b2,p2,lr,p_lr,vertex
peripheral,t linear,3.730407361067166e-05,1.3037476336714336e-16,128.05922554762947,1.5570139152307047e-28,29.748871307321537
peripheral,t + t^2 + t^3,2.68727912131341e-05,4.385802742603288e-09,91.91784650486807,1.0972187923064334e-20,24.62053873771483
peripheral,5 s-bin fixed effects,2.7984946816960204e-05,3.4602459922460956e-10,116.14854066830594,6.007099884170338e-26,22.954249791598816
motor,t linear,4.929095037030881e-05,6.196976290941332e-33,220.4974225044498,1.3170221109405959e-48,35.6320905002616
motor,t + t^2 + t^3,4.2971242621508475e-05,2.6862332444426924e-25,238.4667643449502,1.6504412282337394e-52,30.165503921525218
motor,5 s-bin fixed effects,3.821357983101232e-05,2.5074768189505933e-21,239.8900367864626,8.101032603388836e-53,27.084424451089532
above_band,above (silence),0.049814020067436224,0.0003869855840025285,,,
above_band,  x half-sham,-0.012331415016667447,0.5069439956829143,,,
above_band,  x full BCI,-0.03813084010730528,0.040043398389820045,,,
