signal,peripheral_r,motor_r,motor_p,n_peripheral,n_motor
HR,0.4492190878120896,0.3241368368066289,1.2585891501077702e-61,352,351
HRV-pNN35,-0.20993389762612108,-0.1569844034127833,1.0510396510125632e-15,335,334
EDA-phasic,0.30213146276950165,0.2632304158247433,7.517436483504403e-44,352,351
EDA-tonic,0.21392449208712971,0.09209380464207578,0.0004986714514082188,352,351
Pupil,0.17419200926461614,0.16105065312884898,6.42772845305303e-28,352,351
