signal,marker,beta,lo,hi,p,lrt_p
excess_fixed,cal_sd_z,-0.0006750088532695142,-0.001135792737740067,-0.00021422496879896146,0.004089438028422957,0.004098847747589798
excess_fixed,resp_z,-0.0010484043089255015,-0.0016114715022400793,-0.0004853371156109236,0.0002628948418605743,0.00026507571349224053
excess_fixed,hrv_z,-0.0004512154678970409,-0.000887916215947073,-1.45147198470088e-05,0.04285630198450981,0.04292610952151823
excess_fixed,cal_volatility_z,0.00011298128691526601,-0.00033402570891712786,0.0005599882827476599,0.6203304450209914,0.6203791141773415
excess_adaptive,cal_sd_z,-0.00039318626554263195,-0.0009100165187947213,0.0001236439877094574,0.1359426940990715,0.13596606512442433
excess_adaptive,resp_z,-0.0011608354774538944,-0.0017495815535983775,-0.0005720894013094113,0.00011132743429583099,0.000112488453760736
excess_adaptive,hrv_z,-0.0001350903701034546,-0.0006354377915317858,0.0003652570513248766,0.596682791380657,0.5966823563218091
excess_adaptive,cal_volatility_z,4.5871780739792785e-05,-0.00047446680874031126,0.0005662103702198968,0.8628199219330526,0.8629363400561824
