subject,slope,sensitive
0,0.5200034687768222,False
1,0.31762409165782785,False
2,-0.32801937093376543,False
3,0.6910345785179652,False
4,0.6583890368110082,True
5,0.2913434722122747,True
6,0.22072152902749012,False
7,-0.07666440967960081,True
8,-0.0013208418937307803,False
9,-0.023085295566702337,True
10,0.11724000183425924,True
12,0.8653900296638696,True
13,0.27539056314484256,True
14,0.49148792477307746,False
15,0.32439483429918836,True
