multiplier,mean_in_band,r_with_baseline,pct_at_ceiling,pct_at_floor
0.5,64.3009888780234,0.9821072037395413,16.184971098265898,0.0
0.75,67.44833674486964,0.9940434429843125,18.497109826589593,0.0
1.0,70.3551419070098,0.9999999999999999,21.38728323699422,0.0
1.25,73.09110914594693,0.993619522601264,22.54335260115607,0.0
1.5,75.92338920047722,0.9800632540385861,26.011560693641616,0.0
1.75,77.86711533192515,0.968139556505935,33.52601156069364,0.0
2.0,79.66675454424923,0.9508329556500318,35.83815028901734,0.0
2.25,81.26612064940878,0.9354031009398172,38.15028901734104,0.0
2.5,82.6267818839317,0.9170955832223672,40.46242774566474,0.0
2.75,83.74203715831702,0.9024416310952477,41.040462427745666,0.0
3.0,84.82362480269765,0.8860338469271706,43.35260115606936,0.0
