subject,difficulty,condition,size,arousal,t_s
0,0,2,large,0.002918328827405933,2.984375
0,0,2,large,5.394789056273616,4.99609375
0,0,2,large,9.190866640281147,7.0234375
0,0,2,large,5.0728982509226395,9.03515625
0,0,2,large,13.980712007605511,11.03515625
0,0,2,large,10.583840994600642,13.05078125
0,0,2,large,9.149258344659067,15.05078125
0,0,2,large,4.897744401960078,17.05078125
0,0,2,large,18.94585890935152,19.07421875
0,0,2,large,8.600902417894552,21.11328125
0,0,2,large,7.324371364941573,23.11328125
0,0,2,large,59.923027223203405,25.140625
0,0,2,large,66.03828160977314,27.15234375
0,0,2,large,57.4243363221767,29.15234375
0,0,2,medium,64.26574569980073,31.1796875
0,0,2,medium,75.45434961750175,33.1796875
0,0,2,medium,65.93692184168596,35.20703125
0,0,2,medium,37.69668858871619,37.20703125
0,0,2,medium,44.76077868444261,39.2265625
0,0,2,medium,84.74803843060536,41.234375
0,0,2,medium,41.75901581797004,43.24609375
0,0,2,medium,30.1719692107998,45.24609375
0,0,2,medium,85.50488987351656,47.26171875
0,0,2,medium,79.97232829430365,49.328125
0,0,2,medium,24.867889403821316,51.33984375
0,0,2,medium,35.18456207805333,53.3515625
0,0,2,medium,89.14135602588601,55.37890625
0,0,2,medium,59.90117736357287,57.390625
0,0,2,medium,19.879984018463254,59.40625
0,0,2,small,17.062905696999188,61.43359375
0,0,2,small,74.62474551891259,63.4609375
0,1,2,large,0.0,2.9921875
0,1,2,large,0.500587410982109,4.9921875
0,1,2,large,1.9113470915420923,6.9921875
0,1,2,large,0.7823056906611312,9.00390625
0,1,2,large,0.2307627961940752,11.00390625
0,1,2,large,0.5186060932262375,13.00390625
0,1,2,large,0.7399713669408619,15.00390625
0,1,2,large,0.23476884582017263,17.00390625
0,1,2,large,0.8580985207632386,19.00390625
0,1,2,large,22.681073399479907,21.01953125
0,1,2,large,50.6211044707723,23.03125
0,1,2,large,19.471878688674877,25.04296875
0,1,2,large,8.41409636287198,27.0390625
0,1,2,large,31.91988053410709,29.0546875
0,1,2,medium,10.921627090784426,31.05859375
0,1,2,medium,31.005068383743506,33.0546875
0,1,2,medium,44.26257853570385,35.06640625
0,1,2,medium,44.749524488222505,37.75
0,0,1,large,0.0,2.984375
0,0,1,large,4.9901370063717625,4.984375
0,0,1,large,3.591185038348484,6.99609375
0,0,1,large,1.7156718106451365,9.01171875
0,0,1,large,9.07010585019381,11.01171875
0,0,1,large,39.5720103897889,13.0234375
0,0,1,large,13.75350082463653,15.01953125
