estimator,subset,n,r,sb,lo,hi,kind
quadratic vertex,all trials,16,0.033103180132680016,0.06408494479404975,-0.5857244434257765,0.7833781657315875,raw
quadratic vertex,hard course,0,,,,,raw
top-quartile arousal,all trials,16,0.7029115841030605,0.8255409037848441,0.5162429374655448,0.8616021500268202,raw
top-quartile arousal,hard course,16,0.7137354392106434,0.8329587203254595,0.5367243761931135,0.8262018312499377,raw
performance-weighted arousal,all trials,16,0.8882877564481026,0.9408393963417792,0.7912961665375491,0.9528504779125269,raw
performance-weighted arousal,hard course,16,0.7938166198062615,0.8850588304750978,0.6592296766681558,0.9018442727528325,raw
quadratic vertex,,16,0.22575509364563803,0.3683526910325908,-0.41431984343801154,0.9127747258373624,residualised
top-quartile arousal,,16,0.017407270726403964,0.0342188840737802,-0.3742298095841213,0.45229505562615135,residualised
performance-weighted arousal,,16,0.14099443672129156,0.24714307481892128,-0.20606004269276704,0.48355332642371424,residualised
