signal,marker,auc,sem,n
excess_fixed,none (no gain),58.82418451245806,2.981446186819945,16
excess_fixed,cal_sd,54.93085117912473,3.498010870459811,16
excess_fixed,resp,52.41934559069606,3.6592121852006554,16
excess_fixed,hrv,54.93085117912473,3.498010870459811,16
excess_adaptive,none (no gain),56.617827499846165,3.14172102120746,16
excess_adaptive,cal_sd,53.009040888967505,3.4701214797521076,16
excess_adaptive,resp,54.54972877955366,3.363612125117234,16
excess_adaptive,hrv,56.617827499846165,3.14172102120746,16
