cal,target,r,p
cal_level,cl_level,0.07589960860647423,0.7799579717565541
cal_level,cl_sd,-0.10232999693866925,0.7060923942034053
cal_level,cl_perf,0.19624244680634162,0.46635384168525457
cal_sd,cl_level,0.35190702502097404,0.1813272092561395
cal_sd,cl_sd,0.30465719864978724,0.25125206678660106
cal_sd,cl_perf,0.04581312248729759,0.8662098463666181
cal_iqr,cl_level,0.23383450631120528,0.38340388533591213
cal_iqr,cl_sd,0.06340616504060792,0.8155401416472154
cal_iqr,cl_perf,0.057643833338243376,0.8320705465004266
cal_volatility,cl_level,-0.390354827542539,0.13496288345790575
cal_volatility,cl_sd,-0.5430873408318981,0.02970573600075964
cal_volatility,cl_perf,-0.005212731312182042,0.9847138852973356
cal_frac_high,cl_level,0.17355786456953065,0.5203380607332742
cal_frac_high,cl_sd,0.08895112998818938,0.7432197627098575
cal_frac_high,cl_perf,0.22277477533561912,0.4069272376537722
