subject,performance,pct_above,pct_strict,pct_below
0,39.7734375,38.46153846153847,61.53846153846154,0.0
0,61.06640625,4.918032786885246,95.08196721311475,0.0
0,55.06640625,0.0,74.54545454545455,25.454545454545453
0,61.08984375,0.0,96.72131147540983,3.278688524590164
0,67.1328125,0.0,97.01492537313433,2.9850746268656714
0,64.91796875,14.0625,73.4375,12.5
1,33.0234375,54.54545454545454,45.45454545454545,0.0
1,61.10546875,6.557377049180328,93.44262295081968,0.0
1,51.0390625,33.33333333333333,66.66666666666666,0.0
1,35.05859375,5.714285714285714,88.57142857142857,5.714285714285714
1,67.26953125,17.91044776119403,80.59701492537313,1.4925373134328357
1,45.0390625,24.444444444444443,53.333333333333336,22.22222222222222
2,33.04296875,42.42424242424242,57.57575757575758,0.0
2,33.125,24.242424242424242,75.75757575757575,0.0
2,39.078125,56.41025641025641,43.58974358974359,0.0
2,10.73828125,20.0,80.0,0.0
2,37.109375,70.27027027027027,29.72972972972973,0.0
2,47.06640625,51.06382978723404,48.93617021276596,0.0
2,47.09375,53.191489361702125,46.808510638297875,0.0
2,37.01953125,16.216216216216218,81.08108108108108,2.7027027027027026
3,33.1328125,63.63636363636363,36.36363636363637,0.0
3,31.08984375,67.74193548387096,32.25806451612903,0.0
3,43.3984375,67.44186046511628,32.55813953488372,0.0
3,35.0703125,45.714285714285715,54.285714285714285,0.0
3,64.94140625,40.625,59.375,0.0
4,29.37109375,10.344827586206897,89.65517241379311,0.0
4,35.0,0.0,82.85714285714286,17.142857142857142
4,45.02734375,22.22222222222222,77.77777777777779,0.0
4,43.02734375,16.27906976744186,83.72093023255815,0.0
4,41.0234375,19.51219512195122,80.48780487804879,0.0
4,63.0859375,3.1746031746031744,96.82539682539682,0.0
4,59.03515625,15.254237288135593,84.7457627118644,0.0
4,31.03125,25.806451612903224,74.19354838709677,0.0
4,65.05078125,0.0,96.92307692307692,3.076923076923077
4,32.96484375,18.75,81.25,0.0
5,45.14453125,26.666666666666668,73.33333333333333,0.0
5,31.03125,77.41935483870968,22.58064516129032,0.0
5,63.1171875,47.61904761904761,52.38095238095239,0.0
5,65.15625,12.307692307692308,87.6923076923077,0.0
5,45.078125,8.88888888888889,91.11111111111111,0.0
5,63.18359375,6.349206349206349,93.65079365079364,0.0
5,49.078125,36.734693877551024,63.26530612244898,0.0
6,43.1484375,37.2093023255814,62.7906976744186,0.0
6,45.08984375,40.0,60.0,0.0
6,31.12890625,90.32258064516128,9.67741935483871,0.0
6,45.12109375,68.88888888888889,31.11111111111111,0.0
6,33.03125,81.81818181818183,18.181818181818183,0.0
6,37.328125,91.8918918918919,8.108108108108109,0.0
6,33.1015625,93.93939393939394,6.0606060606060606,0.0
6,46.41796875,58.69565217391305,41.30434782608695,0.0
7,57.11328125,14.035087719298245,85.96491228070175,0.0
7,47.0625,25.53191489361702,74.46808510638297,0.0
7,39.08203125,17.94871794871795,79.48717948717949,2.564102564102564
7,33.078125,36.36363636363637,63.63636363636363,0.0
7,33.0390625,0.0,87.87878787878788,12.121212121212121
7,51.07421875,29.411764705882355,70.58823529411765,0.0
7,37.01953125,5.405405405405405,91.8918918918919,2.7027027027027026
7,37.07421875,29.72972972972973,70.27027027027027,0.0
8,33.1328125,93.93939393939394,6.0606060606060606,0.0
8,31.09375,32.25806451612903,64.51612903225806,3.225806451612903
8,31.22265625,61.29032258064516,38.70967741935484,0.0
8,43.171875,58.139534883720934,41.86046511627907,0.0
8,35.23828125,14.285714285714285,82.85714285714286,2.857142857142857
9,33.0703125,54.54545454545454,45.45454545454545,0.0
9,61.08984375,34.42622950819672,65.57377049180327,0.0
9,35.0390625,17.142857142857142,82.85714285714286,0.0
9,35.1171875,17.142857142857142,80.0,2.857142857142857
9,37.12890625,0.0,97.2972972972973,2.7027027027027026
9,44.79296875,0.0,79.54545454545455,20.454545454545457
10,31.08203125,6.451612903225806,93.54838709677419,0.0
10,35.17578125,17.142857142857142,82.85714285714286,0.0
10,35.13671875,0.0,74.28571428571429,25.71428571428571
10,35.09375,0.0,100.0,0.0
10,35.06640625,0.0,74.28571428571429,25.71428571428571
10,47.078125,0.0,80.85106382978722,19.148936170212767
10,38.8671875,13.157894736842104,86.8421052631579,0.0
11,49.1328125,0.0,100.0,0.0
11,31.0234375,0.0,93.54838709677419,6.451612903225806
11,43.08203125,0.0,83.72093023255815,16.27906976744186
11,43.0546875,0.0,81.3953488372093,18.6046511627907
11,51.14453125,0.0,64.70588235294117,35.294117647058826
11,37.05859375,0.0,97.2972972972973,2.7027027027027026
11,32.6015625,0.0,90.625,9.375
12,73.07421875,12.32876712328767,87.67123287671232,0.0
12,47.06640625,14.893617021276595,82.97872340425532,2.127659574468085
12,33.015625,33.33333333333333,66.66666666666666,0.0
12,37.01171875,8.108108108108109,89.1891891891892,2.7027027027027026
12,38.99609375,15.789473684210526,76.31578947368422,7.894736842105263
12,63.0625,7.936507936507936,92.06349206349206,0.0
13,17.078125,29.411764705882355,70.58823529411765,0.0
13,25.36328125,40.0,60.0,0.0
13,15.421875,73.33333333333333,26.666666666666668,0.0
13,35.1171875,8.571428571428571,88.57142857142857,2.857142857142857
13,29.390625,6.896551724137931,93.10344827586206,0.0
13,31.3671875,0.0,100.0,0.0
13,39.16015625,0.0,100.0,0.0
14,49.375,61.224489795918366,38.775510204081634,0.0
14,33.02734375,84.84848484848484,15.151515151515152,0.0
14,45.1171875,46.666666666666664,53.333333333333336,0.0
14,35.1171875,71.42857142857143,28.57142857142857,0.0
14,49.2578125,61.224489795918366,38.775510204081634,0.0
14,47.43359375,72.3404255319149,27.659574468085108,0.0
14,35.08203125,77.14285714285715,22.857142857142858,0.0
14,31.046875,96.7741935483871,3.225806451612903,0.0
14,21.16015625,95.23809523809523,4.761904761904762,0.0
15,59.1015625,35.59322033898305,64.40677966101694,0.0
15,43.09375,51.162790697674424,48.837209302325576,0.0
15,37.09375,75.67567567567568,24.324324324324326,0.0
15,57.13671875,12.280701754385964,87.71929824561403,0.0
15,63.171875,11.11111111111111,88.88888888888889,0.0
15,35.09765625,31.428571428571427,65.71428571428571,2.857142857142857
15,37.15234375,51.35135135135135,48.64864864864865,0.0
15,33.94140625,90.9090909090909,9.090909090909092,0.0
