term,beta,p
above,0.8661792866675311,0.04829985494733241
above:C(condition)[T.2],-0.31756150433360797,0.5727523293383863
above:C(condition)[T.3],-0.6465744528228397,0.28947892060191993
joint interaction,1.1221159070637983,0.5706050707569112
