measure,r,sb,lo,hi
cal_level,0.6964643366142201,0.8210774863728806,0.4940265173597169,0.8635082791795395
cal_sd,0.7530005341041343,0.8590990355732583,0.505204885785241,0.9200936640209402
cal_iqr,0.8937857420890946,0.9439143216942075,0.7301397151614251,0.962308511404551
cal_volatility,0.6553794141556972,0.7918177652220765,0.4658892779469866,0.8071180382782014
cal_frac_high,0.5698462199654165,0.7259898615776138,0.29630429490388127,0.8114928695332371
