filter,mean_arousal,r_pct_above,r_pct_in_band,cohens_d,beta_quad,p_quad,optimum
asymmetric 0.75 / 1.5 (published),28.705221939541048,-0.3079508877066954,0.30795088770669543,0.8507240539045415,-2.3329769957325985,1.2477835279897739e-06,51.588492374449764
symmetric 1.0,26.933318673590986,-0.3102158159683105,0.31021581596831044,0.8428796061147439,-2.438143235114703,1.5365767105303557e-06,50.13193439934989
symmetric 1.5,26.37457053941291,-0.2731350148334277,0.27313501483342767,0.7357104131505436,-2.5027217278010983,1.3389897985987175e-06,49.90947199448811
symmetric 0.75,27.220339976755,-0.3004835962741872,0.300483596274187,0.8279858126941465,-2.404554555222076,1.675095405033222e-06,50.23588621288648
no smoothing,28.070767137901466,-0.31445095024585734,0.3144509502458573,0.8604578122995795,-2.3025007677729814,2.300821676792354e-06,50.49735041402218
