marker,beta,ci_lo,ci_hi,p,kind,score,n_sensitive,n_tolerant,r_sensitive,p_sensitive,r_tolerant,p_tolerant,interaction_p,lrt_p,mult_sensitive,mult_tolerant
HRV,1.101680889691111,0.19387742072202552,2.0094843586601963,0.01738093538803838,curve_shape,,,,,,,,,,,
respiration,2.2717379711755643,0.8167109934159307,3.726764948935198,0.0022126485128644907,curve_shape,,,,,,,,,,,
vagal composite,-1.97545473541117,-3.3005817986833583,-0.6503276721389817,0.003479610778542989,curve_shape,,,,,,,,,,,
gamma (real power),0.7118130600159699,-0.21953044635729557,1.6431565663892354,0.1341401162727351,curve_shape,,,,,,,,,,,
,,,,,grouping,original (-HRV + gamma_signed),8.0,8.0,0.3924662984750572,0.0033321645199964256,0.26162081155650174,0.04533197676932802,0.4346086079704726,0.6762672778652898,1.75,2.5
,,,,,grouping,HRV only,8.0,8.0,0.3929924310202913,0.003952077226539021,0.23783901400352062,0.06493055896580104,0.3142763580707464,0.6054398757697104,1.75,2.5
,,,,,grouping,vagal composite (HRV + RESP),7.0,9.0,0.4142376444182488,0.0027840240661415037,0.2290654142973148,0.07094398598369124,0.16167784396050444,0.38292461895369234,1.75,2.75
