contrast,delta_r,ci_lo,ci_hi,p
universal x1.75 (retuned) vs default,0.030532164735389836,-0.0018326926708426487,0.06238392043765278,0.0642
group widths (composite score) vs default,0.03321482841038037,-0.018334641450427163,0.0834785585688112,0.1938
group widths (calibration marker) vs default,0.023290685703294896,-0.028064294233130484,0.07337992440229661,0.3536
centre from fitted curve vs default,0.03050991363285817,-0.020962950501087145,0.11111159063199068,0.4068
width from fitted curve vs default,0.010121282086373659,-0.009117277042018347,0.028658463326115772,0.292
group widths (composite score) vs retuned,0.0026826636749905336,-0.03615035895712339,0.03296200760536868,0.8064
group widths (calibration marker) vs retuned,-0.007241479032094935,-0.05016813793047122,0.027155847915873492,0.752
centre from fitted curve vs retuned,-2.2251102531664956e-05,-0.04931583592776247,0.06869556317698662,0.9068
width from fitted curve vs retuned,-0.02041088264901618,-0.06235924537440345,0.02376292973837566,0.3438
